Date,Time,Acc,Gyro
2025-02-07,14:29:01,"0.28, -0.02, 0.97","-0.37, -0.24, -0.24"
2025-02-07,14:29:02,"0.28, -0.02, 0.97","-0.37, -0.31, -0.18"
2025-02-07,14:29:02,"0.28, -0.02, 0.97","-0.37, -0.31, -0.18"
2025-02-07,14:29:03,"0.28, -0.02, 0.97","-0.31, -0.31, -0.18"
2025-02-07,14:29:03,"0.28, -0.02, 0.97","-0.37, -0.31, -0.24"
2025-02-07,14:29:04,"0.28, -0.02, 0.97","-0.37, -0.24, -0.18"
2025-02-07,14:29:04,"0.28, -0.02, 0.97","-0.37, -0.31, -0.18"
2025-02-07,14:29:05,"0.28, -0.02, 0.97","-0.43, -0.31, -0.12"
2025-02-07,14:29:05,"0.28, -0.02, 0.97","-0.37, -0.24, -0.24"
2025-02-07,14:29:06,"0.28, -0.02, 0.97","-0.37, -0.24, -0.18"
2025-02-07,14:29:06,"0.28, -0.02, 0.97","-0.43, -0.31, -0.18"
2025-02-07,14:29:07,"0.28, -0.02, 0.97","-0.37, -0.31, -0.18"
2025-02-07,14:29:07,"0.28, -0.02, 0.97","-0.37, -0.31, -0.24"
2025-02-07,14:29:08,"0.28, -0.02, 0.97","-0.37, -0.31, -0.18"
2025-02-07,14:29:08,"0.28, -0.02, 0.97","-0.31, -0.24, -0.24"
2025-02-07,14:29:09,"0.28, -0.02, 0.97","-0.37, -0.24, -0.18"
2025-02-07,14:29:09,"0.28, -0.02, 0.97","-0.31, -0.24, -0.18"
2025-02-07,14:29:10,"0.28, -0.02, 0.97","-0.37, -0.37, -0.18"
2025-02-07,14:29:10,"0.28, -0.01, 0.97","-0.12, -0.18, -0.43"
2025-02-07,14:29:11,"0.28, -0.02, 0.97","-0.37, -0.31, -0.18"
2025-02-07,14:29:11,"0.74, -0.26, 0.87","43.95, 356.93, -133.61"
2025-02-07,14:29:12,"1.70, -0.08, 2.37","-169.80, -475.34, 267.27"
2025-02-07,14:29:12,"-0.02, -0.78, 0.69","-12.15, 3.78, -22.77"
2025-02-07,14:29:13,"0.61, -0.89, -0.05","52.00, 366.33, -170.59"
2025-02-07,14:29:13,"-0.09, -0.87, 0.49","-7.63, 22.40, -12.39"
2025-02-07,14:29:14,"-0.13, -0.89, 0.47","1.46, 0.18, 0.67"
2025-02-07,14:29:14,"-0.12, -0.92, 0.52","9.34, 4.15, -4.52"
2025-02-07,14:29:15,"0.64, -0.28, 0.43","81.67, 441.10, -142.76"
2025-02-07,14:29:15,"1.74, 2.58, -1.76","32.90, -194.15, -283.02"
2025-02-07,14:29:16,"0.23, -0.81, 0.62","118.59, -22.71, -126.83"
2025-02-07,14:29:16,"0.22, -0.02, 1.16","44.74, 25.45, -3.23"
2025-02-07,14:29:17,"0.36, -0.01, 0.91","1.28, 16.11, 6.77"
2025-02-07,14:29:17,"0.31, -0.01, 0.96","-0.31, -0.24, -0.24"
2025-02-07,14:29:18,"0.31, -0.02, 0.96","-0.31, -0.24, -0.24"
2025-02-07,14:29:18,"0.31, -0.02, 0.96","-0.37, -0.24, -0.18"
2025-02-07,14:29:19,"0.31, -0.02, 0.96","-0.37, -0.31, -0.24"
2025-02-07,14:29:19,"0.31, -0.01, 0.96","-0.37, -0.31, -0.18"
2025-02-07,14:29:20,"0.31, -0.01, 0.96","-0.31, -0.24, -0.24"
2025-02-07,14:29:20,"0.31, -0.02, 0.96","-0.37, -0.31, -0.18"
2025-02-07,14:29:21,"0.31, -0.01, 0.96","-0.37, -0.24, -0.18"
2025-02-07,14:29:21,"0.31, -0.01, 0.96","-0.37, -0.24, -0.24"
2025-02-07,14:29:22,"0.31, -0.01, 0.96","-0.37, -0.31, -0.18"
2025-02-07,14:29:22,"0.31, -0.01, 0.96","-0.37, -0.24, -0.24"
2025-02-07,14:29:23,"0.31, -0.01, 0.96","-0.37, -0.31, -0.18"
2025-02-07,14:29:23,"0.31, -0.01, 0.96","-0.37, -0.31, -0.24"
2025-02-07,14:29:24,"0.31, -0.01, 0.96","-0.37, -0.31, -0.18"
2025-02-07,14:29:24,"0.31, -0.01, 0.96","-0.37, -0.31, -0.18"
2025-02-07,14:29:25,"0.31, -0.01, 0.96","-0.37, -0.31, -0.18"
2025-02-07,14:29:25,"0.31, -0.01, 0.96","-0.31, -0.31, -0.24"
2025-02-07,14:29:26,"0.31, -0.01, 0.96","-0.37, -0.31, -0.18"
2025-02-07,14:29:26,"0.31, -0.01, 0.96","-0.43, -0.37, -0.12"
2025-02-07,14:29:27,"0.31, -0.01, 0.96","-0.37, -0.31, -0.24"
2025-02-07,14:29:27,"0.31, -0.01, 0.96","-0.37, -0.31, -0.18"
2025-02-07,14:29:28,"0.31, -0.01, 0.96","-0.31, -0.24, -0.18"
2025-02-07,14:29:28,"0.31, -0.01, 0.96","-0.43, -0.31, -0.18"
2025-02-07,14:29:29,"0.31, -0.01, 0.97","-0.18, -0.12, -0.37"
2025-02-07,14:29:29,"0.28, -0.04, 0.98","5.43, 21.97, 28.75"
2025-02-07,14:29:30,"0.27, -0.02, 0.97","-0.37, -0.31, -0.24"
2025-02-07,14:29:30,"0.28, -0.02, 0.97","-0.31, -0.24, -0.24"
2025-02-07,14:29:31,"0.28, -0.02, 0.97","-0.37, -0.24, -0.18"
2025-02-07,14:29:31,"0.27, -0.02, 0.97","-0.31, -0.24, -0.31"
2025-02-07,14:29:32,"0.27, -0.02, 0.97","-0.92, -0.79, 0.31"
2025-02-07,14:29:32,"0.27, -0.02, 0.97","-0.37, -0.37, -0.18"
2025-02-07,14:29:33,"0.27, -0.02, 0.97","-0.37, -0.31, -0.18"
2025-02-07,14:29:33,"1.72, 1.37, 2.29","-143.74, 369.87, 295.59"
2025-02-07,14:29:34,"0.12, 0.81, 1.06","31.13, -253.97, -45.47"
2025-02-07,14:29:34,"0.25, -0.10, 0.97","-4.70, -0.55, 0.55"
2025-02-07,14:29:35,"0.25, -0.10, 0.97","3.11, 0.00, -0.92"
2025-02-07,14:29:35,"0.25, -0.10, 0.98","-0.49, -0.31, -0.18"
2025-02-07,14:29:36,"0.25, -0.10, 0.97","-0.12, -0.31, -0.24"
2025-02-07,14:29:36,"0.25, -0.10, 0.98","-0.37, -0.31, -0.24"
2025-02-07,14:29:37,"0.25, -0.10, 0.97","-0.31, -0.31, -0.24"
2025-02-07,14:29:37,"0.25, -0.10, 0.98","-0.37, -0.31, -0.24"
2025-02-07,14:29:38,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
2025-02-07,14:29:38,"0.25, -0.10, 0.98","-0.43, -0.31, -0.18"
2025-02-07,14:29:39,"0.25, -0.10, 0.98","-0.37, -0.31, -0.18"
