Date,Time,Acc,Gyro
2025-02-07,14:26:17,"0.40, -0.15, 0.82","-0.37, -25.88, 0.79"
2025-02-07,14:26:17,"0.72, -0.53, 0.49","-5.25, 31.01, 23.50"
2025-02-07,14:26:18,"0.78, -0.95, 1.43","76.60, 21.91, -32.10"
2025-02-07,14:26:18,"0.98, -0.39, 1.81","16.36, -318.05, -194.21"
2025-02-07,14:26:19,"0.32, -0.60, 0.85","41.69, -8.85, -11.05"
2025-02-07,14:26:19,"1.26, 2.97, 1.12","1.53, -51.09, 116.94"
2025-02-07,14:26:20,"0.13, -0.71, 0.74","-9.09, -24.29, 2.69"
2025-02-07,14:26:20,"1.73, 2.74, 2.31","-260.44, 48.71, -116.88"
2025-02-07,14:26:21,"0.31, -0.75, 0.25","102.54, -122.86, -2.75"
2025-02-07,14:26:21,"1.24, -0.99, 2.30","-13.73, 407.90, 307.50"
2025-02-07,14:26:22,"0.31, 0.13, 0.79","-124.21, 5.07, 35.22"
2025-02-07,14:27:18,"2.06, -1.21, 1.59","-147.89, 514.04, -90.39"
2025-02-07,14:27:19,"0.29, 0.30, -0.44","137.08, -123.60, -244.75"
2025-02-07,14:27:19,"0.53, -0.55, 1.06","63.11, -1.28, -56.09"
2025-02-07,14:27:24,"0.28, -0.20, 1.02","-68.85, -100.04, -3.97"
2025-02-07,14:27:24,"-0.89, -0.95, -0.62","-6.65, 95.52, 49.80"
2025-02-07,14:29:11,"0.74, -0.26, 0.87","43.95, 356.93, -133.61"
2025-02-07,14:29:14,"-0.13, -0.89, 0.47","1.46, 0.18, 0.67"
2025-02-07,14:29:14,"-0.12, -0.92, 0.52","9.34, 4.15, -4.52"
2025-02-07,14:29:15,"0.64, -0.28, 0.43","81.67, 441.10, -142.76"
2025-02-07,14:29:15,"1.74, 2.58, -1.76","32.90, -194.15, -283.02"
2025-02-07,14:29:16,"0.23, -0.81, 0.62","118.59, -22.71, -126.83"
2025-02-07,14:29:33,"1.72, 1.37, 2.29","-143.74, 369.87, 295.59"
2025-02-07,14:29:34,"0.12, 0.81, 1.06","31.13, -253.97, -45.47"
2025-02-07,14:30:07,"-0.43, -0.90, 0.31","563.23, -97.84, -181.76"
2025-02-07,14:30:08,"0.19, -0.14, 0.98","0.49, 0.00, -0.12"
2025-02-07,14:30:09,"0.19, -0.13, 0.99","1.28, -0.06, -0.37"
2025-02-07,14:30:09,"0.19, -0.12, 0.99","0.12, -0.24, -0.24"
2025-02-07,14:30:10,"0.19, -0.12, 0.99","-0.06, -0.24, -0.24"
2025-02-07,14:30:10,"0.19, -0.12, 0.99","-0.18, -0.31, -0.24"
2025-02-07,14:30:11,"0.19, -0.12, 0.99","0.00, -0.24, -0.31"
2025-02-07,14:30:11,"0.19, -0.11, 0.99","-0.24, -0.31, -0.18"
2025-02-07,14:30:12,"0.19, -0.11, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:30:12,"0.19, -0.11, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:30:13,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:13,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:14,"0.19, -0.11, 0.99","-0.43, -0.31, -0.24"
2025-02-07,14:30:14,"0.19, -0.11, 0.99","-0.24, -0.31, -0.24"
2025-02-07,14:30:15,"0.19, -0.11, 0.99","-0.37, -0.24, -0.18"
2025-02-07,14:30:15,"0.19, -0.11, 0.99","-0.24, -0.24, -0.24"
2025-02-07,14:30:16,"0.19, -0.11, 0.99","-0.43, -0.31, -0.24"
2025-02-07,14:30:16,"0.19, -0.11, 0.99","-0.31, -0.24, -0.18"
2025-02-07,14:30:17,"0.19, -0.11, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:30:17,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:18,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:18,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:19,"0.19, -0.11, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:19,"0.19, -0.11, 0.99","-0.37, -0.31, -0.24"
2025-02-07,14:30:20,"0.19, -0.11, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:20,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:21,"0.19, -0.11, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:21,"0.19, -0.11, 0.99","-0.37, -0.24, -0.24"
2025-02-07,14:30:22,"0.19, -0.11, 0.99","-0.31, -0.24, -0.24"
2025-02-07,14:30:22,"0.19, -0.11, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:23,"0.19, -0.11, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:23,"0.19, -0.11, 0.99","-0.37, -0.31, -0.18"
2025-02-07,14:30:24,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:24,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:25,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:25,"0.19, -0.11, 0.99","-0.31, -0.31, -0.24"
2025-02-07,14:30:26,"0.19, -0.11, 0.99","-0.43, -0.31, -0.18"
2025-02-07,14:30:26,"0.19, -0.11, 0.99","-0.49, -0.31, -0.18"
2025-02-07,14:30:27,"0.19, -0.11, 0.99","-0.55, -0.31, -0.18"
2025-02-07,14:30:27,"0.19, -0.11, 0.99","-0.24, -0.24, -0.18"
2025-02-07,14:30:28,"0.19, -0.11, 0.99","-0.55, -0.37, -0.18"
2025-02-07,14:30:28,"0.19, -0.11, 0.99","-0.18, -0.31, -0.24"
2025-02-07,14:30:29,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:29,"0.19, -0.11, 0.99","-0.31, -0.31, -0.18"
2025-02-07,14:30:30,"0.19, -0.11, 0.99","-0.49, -0.31, -0.18"
2025-02-07,14:30:30,"0.19, -0.11, 0.99","-0.43, -0.31, -0.24"
2025-02-07,14:30:31,"0.19, -0.11, 0.99","-0.18, -0.24, -0.24"
2025-02-07,14:30:31,"0.19, -0.11, 0.99","-0.85, -0.31, -0.18"
2025-02-07,14:30:32,"0.19, -0.11, 0.99","-2.50, -0.85, 0.06"
2025-02-07,14:30:33,"0.19, -0.11, 0.99","0.55, -0.12, -0.24"
2025-02-07,14:31:48,"0.44, -0.35, 0.39","-368.10, 417.72, 176.94"
2025-02-07,14:31:49,"0.56, -1.32, -1.46","52.80, 252.93, -198.79"
2025-02-07,14:31:49,"0.11, 1.51, -1.77","-398.19, -199.83, -132.32"
2025-02-07,14:32:07,"2.03, 0.26, 3.96","-100.52, -99.73, 59.20"
