Time,Temperature
11:09:24,31.21
11:09:25,31.40
11:09:26,31.17
11:09:27,31.27
11:09:28,31.24
11:09:29,31.35
11:09:30,31.22
11:09:31,31.27
11:09:32,31.42
11:09:33,31.36
11:09:34,31.48
11:09:35,31.36
11:09:36,31.38
11:09:37,31.28
11:09:38,31.26
11:09:39,31.33
11:09:40,31.35
11:09:41,31.27
11:09:42,31.19
11:09:43,31.32
11:09:44,31.23
11:09:45,31.62
11:09:46,31.30
11:09:47,31.24
11:09:48,31.12
11:09:49,31.33
11:09:50,31.21
11:09:51,31.27
11:09:52,31.32
11:09:53,31.36
11:09:54,31.21
11:09:55,31.23
11:09:56,31.36
11:09:57,31.38
11:09:58,31.18
11:09:59,31.31
11:10:00,31.26
11:10:01,31.29
11:10:02,31.43
11:10:03,31.28
11:10:04,31.24
11:10:05,31.31
11:10:06,31.27
11:10:07,31.17
11:10:08,31.18
11:10:09,31.29
11:10:10,31.25
11:10:11,31.32
11:10:12,31.32
11:10:13,31.14
11:10:14,31.32
11:10:15,31.19
11:10:16,31.45
11:10:17,31.26
11:10:18,31.27
11:10:19,31.25
11:10:20,31.35
11:10:21,31.20
11:10:22,31.29
11:10:23,31.29
11:10:24,31.31
11:10:25,31.26
11:10:26,31.35
11:10:27,31.24
11:10:28,31.16
11:10:29,31.19
11:10:30,31.13
11:10:31,31.40
11:10:32,31.24
11:10:33,31.33
11:10:34,31.39
11:10:35,31.26
11:10:36,31.20
11:10:37,31.17
11:10:38,31.05
11:10:39,31.27
11:10:40,31.27
11:10:41,31.12
11:10:42,31.30
11:10:43,31.23
11:10:44,31.03
11:10:45,31.32
11:10:46,31.16
11:10:47,31.16
11:10:48,31.30
11:10:49,31.16
11:10:50,31.17
11:10:51,31.19
11:10:52,31.21
11:10:53,31.23
11:10:54,31.34
11:10:55,31.26
11:10:56,31.30
11:10:57,31.25
11:10:58,31.23
11:10:59,31.30
11:11:00,31.19
11:11:01,31.20
11:11:02,31.32
11:11:03,31.11
11:11:04,31.28
11:11:05,31.14
11:11:06,31.06
11:11:07,31.15
11:11:08,31.18
11:11:09,32.39
11:11:10,32.75
11:11:11,31.34
11:11:12,31.59
11:11:13,31.96
11:11:14,31.28
11:11:15,31.44
11:11:16,31.26
11:11:17,31.43
11:11:18,31.60
11:11:19,31.70
11:11:20,31.61
11:11:21,31.77
11:11:22,31.75
11:11:23,31.16
11:11:24,30.67
11:11:25,30.52
11:11:26,30.30
11:11:27,29.95
11:11:28,30.33
11:11:29,30.18
11:11:30,29.51
11:11:31,29.66
11:11:32,30.04
11:11:33,29.57
11:11:34,29.30
11:11:35,29.24
11:11:36,29.64
11:11:37,29.68
11:11:38,29.83
11:11:39,29.60
11:11:40,29.36
11:11:41,29.12
11:11:42,29.24
11:11:43,29.14
11:11:44,29.11
11:11:45,29.34
11:11:46,29.25
11:11:47,29.36
11:11:48,29.39
11:11:49,29.38
11:11:50,29.11
11:11:51,29.16
11:11:52,28.94
11:11:53,28.94
11:11:54,29.21
11:11:55,29.17
11:11:56,29.03
11:11:57,29.28
11:11:58,29.48
11:11:59,29.38
11:12:00,29.27
11:12:01,29.32
11:12:02,29.51
11:12:03,29.25
11:12:04,29.32
11:12:05,29.47
11:12:06,29.53
11:12:07,29.52
11:12:08,29.32
11:12:09,29.60
11:12:10,29.64
11:12:11,29.55
11:12:12,29.57
11:12:13,29.60
11:12:14,29.27
11:12:15,29.47
11:12:16,29.59
11:12:17,30.14
11:12:18,30.27
11:12:19,30.10
11:12:20,30.96
